Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-14,M&MFIN,EQ,169.15,169.4,170.9,164.4,170.3,170.3,167.93,7954601,133581208565000.02,46303,2289504,0.2878
2021-06-15,M&MFIN,EQ,170.3,171.0,173.9,171.0,171.5,171.55,172.44,8852779,152655528850000.0,51129,3373066,0.381
2021-06-16,M&MFIN,EQ,171.55,171.75,172.55,168.6,169.2,169.65,170.79,10330765,176435024995000.0,42949,4193990,0.406
2021-06-17,M&MFIN,EQ,169.65,167.5,168.9,162.0,162.75,162.75,165.05,14181946,234077903585000.0,68912,6736097,0.47500000000000003
2021-06-18,M&MFIN,EQ,162.75,164.2,164.2,154.25,158.9,158.65,158.29,12104770,191608485860000.0,83137,3649665,0.3015
2021-06-21,M&MFIN,EQ,158.65,155.0,160.0,154.65,159.95,159.65,158.29,5721893,90571694060000.0,35827,1182620,0.20670000000000002
2021-06-22,M&MFIN,EQ,159.65,161.2,162.65,157.0,157.5,157.3,159.72,7736633,123567688109999.98,41192,2751751,0.3557
2021-06-23,M&MFIN,EQ,157.3,158.5,159.15,156.25,156.7,156.6,157.57,6145260,96829705950000.0,36184,2097162,0.34130000000000005
2021-06-24,M&MFIN,EQ,156.6,157.25,158.2,155.3,156.2,155.9,156.23,4573834,71457308550000.0,34713,1594173,0.34850000000000003
2021-06-25,M&MFIN,EQ,155.9,156.75,160.25,156.6,159.2,159.05,158.67,5578416,88512699965000.0,40527,2298609,0.4121
2021-06-28,M&MFIN,EQ,159.05,160.4,160.4,158.25,158.85,158.65,158.97,3635703,57797093490000.0,18915,1712389,0.47100000000000003
2021-06-29,M&MFIN,EQ,158.65,158.05,159.9,156.8,157.9,157.65,158.1,2760577,43643383095000.0,17300,947313,0.3432
2021-06-30,M&MFIN,EQ,157.65,158.1,159.0,156.9,157.35,157.1,158.13,3207002,50713001285000.0,16911,1196955,0.37320000000000003
2021-07-01,M&MFIN,EQ,157.1,157.9,158.0,155.5,156.25,155.9,156.33,3978656,62200081010000.0,21902,1647542,0.41409999999999997
2021-07-02,M&MFIN,EQ,155.9,156.3,158.0,156.0,157.5,157.35,156.61,9272191,145209291060000.0,40590,6495935,0.7006
2021-07-05,M&MFIN,EQ,157.35,157.8,161.0,157.4,160.75,160.35,158.93,5999744,95352383135000.0,33274,3136613,0.5228
2021-07-06,M&MFIN,EQ,160.35,160.1,163.6,160.1,161.2,161.15,161.76,8071636,130567373005000.0,38743,3235802,0.40090000000000003
2021-07-07,M&MFIN,EQ,161.15,160.95,162.3,160.0,161.5,161.45,161.35,4222452,68127965345000.01,20491,1947890,0.46130000000000004
2021-07-08,M&MFIN,EQ,161.45,161.45,163.1,159.2,160.6,160.65,161.08,5744950,92536966725000.0,20059,2955802,0.5145000000000001
2021-07-09,M&MFIN,EQ,160.65,160.0,162.2,159.0,161.8,161.7,161.19,3816556,61517388170000.01,21186,1710584,0.4482
2021-07-12,M&MFIN,EQ,161.7,162.9,163.75,161.0,161.9,161.45,162.24,3150597,51116231635000.0,16947,1233989,0.39170000000000005
2021-07-13,M&MFIN,EQ,161.45,162.45,163.6,161.5,163.25,163.25,162.7,3440653,55981020440000.0,20390,1754928,0.5101
2021-07-14,M&MFIN,EQ,163.25,163.0,164.3,162.05,163.3,163.35,163.32,2950775,48190672480000.0,15303,1063867,0.3605
2021-07-15,M&MFIN,EQ,163.35,163.5,163.75,161.1,161.85,161.5,162.32,1974094,32044148080000.0,16447,831835,0.4214
2021-07-16,M&MFIN,EQ,161.5,161.9,163.2,160.1,161.7,162.0,161.82,2844051,46021867505000.0,16938,695133,0.2444
2021-07-19,M&MFIN,EQ,162.0,160.0,161.2,156.3,157.0,156.85,158.24,4843713,76646302595000.0,36097,2102699,0.4341
2021-07-20,M&MFIN,EQ,156.85,156.85,157.4,152.5,153.9,153.65,154.39,4911790,75830696510000.0,38882,1730212,0.3523
2021-07-22,M&MFIN,EQ,153.65,155.1,155.65,154.0,154.6,154.4,154.75,3197436,49481422240000.0,19769,1401679,0.43840000000000007
2021-07-23,M&MFIN,EQ,154.4,155.05,156.95,153.65,154.25,154.15,154.75,3241734,50165800435000.0,18673,899736,0.2775
2021-07-26,M&MFIN,EQ,154.15,154.1,156.85,143.2,146.6,146.3,148.7,23473563,349042308180000.0,116619,6541216,0.2787
2021-07-27,M&MFIN,EQ,146.3,146.0,150.4,145.05,148.05,148.1,148.14,19266901,285426810270000.0,91718,7904281,0.4103
2021-07-28,M&MFIN,EQ,148.1,149.0,149.65,141.4,142.5,142.5,143.6,16235198,233139558825000.0,84335,6196527,0.38170000000000004
2021-07-29,M&MFIN,EQ,142.5,143.15,149.05,143.1,148.95,148.7,146.05,12146400,177393249080000.0,61311,5639392,0.4643
2021-07-30,M&MFIN,EQ,148.7,149.5,152.95,148.7,151.4,151.4,150.72,10574957,159383680355000.0,42096,5251841,0.4966
2021-08-02,M&MFIN,EQ,151.4,152.1,152.7,149.5,151.75,151.85,151.02,10012858,151212478900000.0,32539,5953825,0.5946
2021-08-03,M&MFIN,EQ,151.85,151.5,153.15,148.25,149.5,149.5,149.81,6800465,101880326270000.0,27201,3477347,0.5113000000000001
2021-08-04,M&MFIN,EQ,149.5,150.5,156.9,148.55,154.15,154.35,153.63,30844355,473871187080000.0,116894,12420454,0.40270000000000006
2021-08-05,M&MFIN,EQ,154.35,154.95,156.7,151.75,156.0,156.35,154.68,7451270,115259009490000.02,41242,2327578,0.3124
2021-08-06,M&MFIN,EQ,156.35,155.9,157.7,154.4,155.4,155.7,155.87,3444539,53691104950000.0,19811,918882,0.2668
2021-08-09,M&MFIN,EQ,155.7,156.5,156.8,151.8,153.8,153.65,154.75,4500148,69641279010000.0,23599,1427083,0.3171
2021-08-10,M&MFIN,EQ,153.65,154.8,156.4,151.2,153.05,152.9,154.4,5463133,84350515490000.0,22578,2054017,0.376
2021-08-11,M&MFIN,EQ,152.9,153.05,154.5,148.75,153.6,154.0,152.02,7506554,114113238245000.0,34984,2064932,0.2751
2021-08-12,M&MFIN,EQ,154.0,153.6,156.2,152.0,155.2,155.25,154.84,4457687,69022872875000.0,25395,1647135,0.36950000000000005
2021-08-13,M&MFIN,EQ,155.25,155.0,156.0,150.75,151.25,151.35,152.92,5246750,80234323730000.0,26910,1608915,0.3066
2021-08-16,M&MFIN,EQ,151.35,150.25,152.15,149.65,150.8,150.85,150.76,3054849,46054738030000.0,18360,572858,0.1875
2021-08-17,M&MFIN,EQ,150.85,150.0,151.6,147.0,148.25,148.5,149.02,4618904,68831138760000.0,26904,1641666,0.3554
2021-08-18,M&MFIN,EQ,148.5,149.05,151.15,147.5,147.9,148.05,149.05,5640343,84067241115000.0,25338,2031272,0.3601
2021-08-20,M&MFIN,EQ,148.05,147.05,147.3,142.25,142.95,142.95,144.67,6014558,87011140665000.0,37553,2454239,0.408
2021-08-23,M&MFIN,EQ,142.95,145.35,145.35,138.55,139.15,139.4,141.17,3957665,55872083675000.0,25671,795730,0.2011
2021-08-24,M&MFIN,EQ,139.4,139.5,147.5,139.2,147.3,146.3,144.52,6667186,96351524485000.0,34264,1486911,0.223
2021-08-25,M&MFIN,EQ,146.3,147.3,150.2,145.65,147.0,146.9,147.91,5318598,78668853350000.0,27706,953599,0.1793
2021-08-26,M&MFIN,EQ,146.9,148.15,155.8,147.8,155.2,155.1,152.74,18403721,281096566965000.0,101292,3974848,0.21600000000000003
2021-08-27,M&MFIN,EQ,155.1,155.1,156.25,153.0,155.15,155.55,154.84,7015848,108633949734999.98,35599,1870154,0.2666
2021-08-30,M&MFIN,EQ,155.55,156.6,160.4,155.75,159.6,159.7,158.26,8159090,129126019284999.98,53183,3186700,0.39060000000000006
2021-08-31,M&MFIN,EQ,159.7,159.5,161.2,158.2,160.05,160.15,159.84,8068293,128959616905000.0,61810,3553216,0.4404
2021-09-01,M&MFIN,EQ,160.15,159.0,167.3,158.95,161.95,162.05,163.03,13340564,217492130165000.0,61179,3747258,0.2809
2021-09-02,M&MFIN,EQ,162.05,162.05,166.75,161.5,166.25,166.35,164.99,10863034,179227622525000.0,59898,5394988,0.4966
2021-09-03,M&MFIN,EQ,166.35,166.6,167.95,164.25,165.1,165.15,166.21,6293889,104607949335000.0,35659,2192781,0.34840000000000004
2021-09-06,M&MFIN,EQ,165.15,171.0,174.3,167.1,167.5,168.25,170.2,15893751,270507754144999.97,85383,3933497,0.2475
2021-09-07,M&MFIN,EQ,168.25,168.0,171.0,164.25,169.6,170.2,167.94,7244625,121668496620000.0,38733,2464909,0.34020000000000006
