Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-09-08,M&MFIN,EQ,170.2,169.0,170.85,165.55,167.95,168.1,168.19,4582201,77066275735000.0,26496,1585311,0.34600000000000003
2021-09-09,M&MFIN,EQ,168.1,168.0,168.75,165.6,167.4,167.6,167.35,2362369,39534288060000.0,12641,706075,0.2989
2021-09-13,M&MFIN,EQ,167.6,167.0,169.0,165.45,168.7,168.55,167.32,2385408,39911750090000.0,13250,906578,0.3801
2021-09-14,M&MFIN,EQ,168.55,169.1,170.95,168.55,168.75,168.95,169.69,3496482,59330282750000.0,23745,1609965,0.46049999999999996
2021-09-15,M&MFIN,EQ,168.95,169.0,173.45,168.75,172.0,172.65,171.12,6694968,114564745109999.98,28088,2958994,0.44200000000000006
2021-09-16,M&MFIN,EQ,172.65,172.35,175.95,171.45,173.5,173.6,174.07,10337043,179933070260000.0,49186,4702023,0.4549
2021-09-17,M&MFIN,EQ,173.6,175.0,184.0,172.35,179.5,179.35,178.51,19994657,356926966685000.0,101851,6818970,0.341
2021-09-20,M&MFIN,EQ,179.35,177.0,180.9,175.25,176.0,176.2,178.16,6902972,122986797450000.0,44878,2690862,0.3898
2021-09-21,M&MFIN,EQ,176.2,176.5,182.0,173.7,181.0,180.85,178.41,6074735,108376955480000.0,37960,2060060,0.33909999999999996
2021-09-22,M&MFIN,EQ,180.85,182.0,184.6,179.6,180.6,180.85,181.97,5658901,102973070960000.0,33048,1889757,0.33390000000000003
2021-09-23,M&MFIN,EQ,180.85,184.0,187.7,182.0,184.95,185.0,185.51,7121779,132118998759999.98,49235,2674948,0.37560000000000004
2021-09-24,M&MFIN,EQ,185.0,185.2,186.15,181.2,181.55,181.95,183.77,5256102,96589072455000.0,28895,2498380,0.4753
2021-09-27,M&MFIN,EQ,181.95,184.0,185.15,178.95,180.5,181.2,181.99,4694851,85441679040000.0,24149,2472315,0.5266
2021-09-28,M&MFIN,EQ,181.2,180.5,183.75,177.1,180.05,179.75,181.18,6519405,118116773000000.0,34282,3148294,0.4829
2021-09-29,M&MFIN,EQ,179.75,178.0,185.45,175.45,183.1,183.5,181.72,5621283,102147492785000.0,35057,1592315,0.2833
2021-09-30,M&MFIN,EQ,183.5,182.5,186.75,181.75,184.9,185.2,184.81,4617058,85329050715000.0,34059,1714610,0.3714
2021-10-01,M&MFIN,EQ,185.2,183.95,187.4,182.05,186.0,186.3,184.92,6104420,112882241245000.0,27656,2275377,0.37270000000000003
2021-10-04,M&MFIN,EQ,186.3,188.0,191.25,186.3,188.5,188.65,189.43,4819940,91302221390000.0,31610,1506718,0.31260000000000004
2021-10-05,M&MFIN,EQ,188.65,191.0,192.95,185.4,185.9,186.0,187.61,13189065,247435864575000.0,57594,6438622,0.4882
2021-10-06,M&MFIN,EQ,186.0,187.4,187.65,180.5,180.95,181.4,183.72,3652687,67108628045000.01,24146,1581737,0.433
2021-10-07,M&MFIN,EQ,181.4,183.0,185.45,182.05,182.9,182.5,184.04,2918786,53716127900000.0,18425,1092504,0.3743
2021-10-08,M&MFIN,EQ,182.5,183.9,186.75,181.6,184.9,184.55,184.52,3788922,69911789779999.99,22710,1121636,0.29600000000000004
2021-10-11,M&MFIN,EQ,184.55,184.5,187.0,183.8,184.85,185.0,185.64,1716675,31867695789999.996,11975,487513,0.284
2021-10-12,M&MFIN,EQ,185.0,185.8,187.3,181.9,186.3,186.5,184.88,3296782,60951145025000.0,16488,936653,0.2841
2021-10-13,M&MFIN,EQ,186.5,187.3,191.2,185.65,186.2,186.05,188.36,4806511,90536438760000.0,30741,1298719,0.2702
2021-10-14,M&MFIN,EQ,186.05,187.0,187.95,184.6,185.35,185.2,186.26,2556839,47622730320000.0,18687,636103,0.2488
2021-10-18,M&MFIN,EQ,185.2,186.1,189.0,185.1,187.05,187.45,187.23,3605004,67497980325000.0,20733,1738946,0.48240000000000005
2021-10-19,M&MFIN,EQ,187.45,188.4,195.6,187.45,190.3,190.15,192.39,13404959,257904244015000.0,81894,3226007,0.2407
2021-10-20,M&MFIN,EQ,190.15,191.4,192.0,181.75,185.25,184.5,186.98,5097569,95312904330000.0,31067,1229168,0.2411
2021-10-21,M&MFIN,EQ,184.5,186.5,192.95,182.05,192.0,191.75,188.09,5360423,100822813670000.0,25579,1574240,0.2937
2021-10-22,M&MFIN,EQ,191.75,193.0,193.8,186.45,187.3,187.05,190.44,5698253,108516413659999.98,34190,1581309,0.2775
2021-10-25,M&MFIN,EQ,187.05,188.0,188.55,179.35,180.0,180.9,182.77,3923911,71718557985000.0,20275,993485,0.2532
2021-10-26,M&MFIN,EQ,180.9,179.7,189.35,179.35,188.7,188.2,186.79,4842168,90448991390000.0,51670,1500064,0.3098
2021-10-27,M&MFIN,EQ,188.2,188.65,194.4,186.0,191.1,192.0,191.19,8096872,154800825445000.0,43681,2703621,0.33390000000000003
2021-10-28,M&MFIN,EQ,192.0,191.95,192.15,184.85,185.55,185.6,188.67,3683180,69490971970000.01,25864,810888,0.2202
2021-10-29,M&MFIN,EQ,185.6,192.0,193.3,176.85,180.4,179.5,183.5,14877495,273000867730000.03,93473,1882299,0.1265
2021-11-01,M&MFIN,EQ,179.5,180.0,192.0,180.0,190.5,190.7,187.39,8049855,150845093965000.0,46662,2606523,0.32380000000000003
2021-11-02,M&MFIN,EQ,190.7,190.8,197.8,189.0,197.25,197.1,195.05,7479381,145882283535000.0,46473,2769338,0.3703
2021-11-03,M&MFIN,EQ,197.1,198.9,200.5,194.15,194.9,195.6,197.28,7389383,145775327270000.0,53039,1526770,0.2066
2021-11-04,M&MFIN,EQ,195.6,198.2,198.2,194.2,195.35,195.45,195.95,697439,13666613119999.998,8327,355310,0.5094
2021-11-08,M&MFIN,EQ,195.45,196.05,200.75,195.55,199.8,199.65,198.92,4457795,88673894775000.0,33082,1873592,0.4203
2021-11-09,M&MFIN,EQ,199.65,199.75,206.35,198.9,202.55,202.5,203.05,8332449,169191501315000.0,54629,3531769,0.4239
2021-11-10,M&MFIN,EQ,202.5,201.85,204.65,198.85,200.2,200.55,201.68,3811176,76865494375000.0,27122,1619123,0.42479999999999996
2021-11-11,M&MFIN,EQ,200.55,199.75,201.4,195.05,196.65,196.45,197.42,2381550,47017554900000.0,22495,765773,0.3215
2021-11-12,M&MFIN,EQ,196.45,197.25,199.45,194.45,198.15,198.5,197.43,1834531,36219183810000.0,13392,419717,0.2288
2021-11-15,M&MFIN,EQ,198.5,199.0,199.0,183.45,186.8,186.65,186.79,9991215,186624882455000.0,65625,3097754,0.31
2021-11-16,M&MFIN,EQ,186.65,187.6,188.0,182.3,182.8,183.0,185.16,3514881,65082444325000.0,25157,1416434,0.40299999999999997
2021-11-17,M&MFIN,EQ,183.0,183.0,183.25,178.55,179.0,179.1,180.81,3913762,70762958230000.0,28970,1750779,0.4473
2021-11-18,M&MFIN,EQ,179.1,179.0,181.25,175.25,175.8,175.7,177.51,2850897,50606502790000.0,18867,904495,0.3173
2021-11-22,M&MFIN,EQ,175.7,177.0,177.0,168.0,170.4,170.05,170.97,3263622,55797190204999.99,24128,826793,0.25329999999999997
2021-11-23,M&MFIN,EQ,170.05,169.25,171.55,167.3,169.9,169.85,169.71,5302026,89980670845000.0,31972,2152773,0.406
2021-11-24,M&MFIN,EQ,169.85,171.0,173.2,167.25,167.5,167.95,170.02,3377303,57422495525000.0,21896,1043554,0.309
2021-11-25,M&MFIN,EQ,167.95,168.0,170.0,165.5,168.15,167.55,167.06,3331448,55655724804999.99,23336,1060015,0.3182
2021-11-26,M&MFIN,EQ,167.55,165.8,166.8,157.7,159.0,158.8,161.89,4456748,72150193320000.0,31861,1512901,0.3395
2021-11-29,M&MFIN,EQ,158.8,159.0,159.5,153.7,154.6,154.9,157.07,2819303,44283392495000.0,20780,793667,0.2815
2021-11-30,M&MFIN,EQ,154.9,156.0,160.0,154.85,155.35,155.2,156.87,3991298,62613063910000.0,32835,1505613,0.3772
2021-12-01,M&MFIN,EQ,155.2,156.7,158.4,155.1,158.1,157.45,156.86,3059424,47989439745000.0,22071,1153224,0.3769
2021-12-02,M&MFIN,EQ,157.45,158.5,163.7,157.05,162.8,162.5,160.34,3624510,58114396045000.01,21493,1278407,0.3527
2021-12-03,M&MFIN,EQ,162.5,164.7,165.9,161.0,162.1,161.55,163.04,3817831,62246610175000.0,28654,1104119,0.2892
2021-12-06,M&MFIN,EQ,161.55,161.0,164.65,159.0,160.25,160.2,162.21,3036932,49263120210000.0,15184,980617,0.3229
2021-12-07,M&MFIN,EQ,160.2,161.3,162.55,159.9,161.4,161.15,161.29,4158444,67073336420000.01,23150,1805107,0.4341
2021-12-08,M&MFIN,EQ,161.15,162.7,166.0,162.6,164.95,165.0,164.67,4238444,69796352585000.0,30581,2023241,0.47740000000000005
2021-12-09,M&MFIN,EQ,165.0,165.8,167.65,164.5,165.4,165.05,165.74,3891308,64494313770000.01,21983,1604922,0.41240000000000004
2021-12-10,M&MFIN,EQ,165.05,165.9,168.0,164.0,167.3,167.45,166.25,2515696,41824331145000.0,13993,795833,0.31629999999999997
2021-12-13,M&MFIN,EQ,167.45,169.15,169.3,164.65,166.2,165.95,166.6,1904562,31729169089999.996,15791,708036,0.3718
2021-12-14,M&MFIN,EQ,165.95,165.5,165.5,161.0,162.35,162.3,162.32,3202038,51975531155000.0,20621,1240567,0.3874
2021-12-15,M&MFIN,EQ,162.3,161.5,162.6,157.1,157.55,157.3,158.9,5020407,79774895210000.0,29139,1799834,0.35850000000000004
2021-12-16,M&MFIN,EQ,157.3,159.15,159.45,155.55,157.05,156.85,156.97,4028973,63242156310000.0,55615,1774485,0.4404
2021-12-17,M&MFIN,EQ,156.85,156.8,156.85,149.45,149.95,150.1,151.54,5062885,76721594600000.0,35392,1934877,0.3822
2021-12-20,M&MFIN,EQ,150.1,148.7,148.7,141.7,144.45,144.55,144.58,4323768,62512512054999.99,28139,1269300,0.2936
2021-12-21,M&MFIN,EQ,144.55,146.1,147.95,142.45,143.95,143.7,145.56,3497075,50903244025000.0,19738,961810,0.275
2021-12-22,M&MFIN,EQ,143.7,145.3,147.4,142.65,145.25,145.0,144.31,6100444,88036447545000.0,27054,2339614,0.3835
2021-12-23,M&MFIN,EQ,145.0,146.8,151.0,146.1,150.45,150.55,148.48,6351063,94301881915000.0,40213,2320262,0.3653
2021-12-24,M&MFIN,EQ,150.55,152.0,153.6,144.3,145.45,145.05,146.54,5628542,82478997320000.0,33627,1852566,0.32909999999999995
2021-12-27,M&MFIN,EQ,145.05,144.1,146.25,141.0,146.0,146.0,144.75,2253275,32617043589999.996,12928,529470,0.23500000000000001
2021-12-28,M&MFIN,EQ,146.0,147.8,148.4,145.7,146.9,147.0,147.16,2497538,36753124125000.0,16071,514757,0.2061
2021-12-29,M&MFIN,EQ,147.0,147.0,149.95,146.25,146.9,147.05,147.68,3056995,45146732115000.0,19571,828875,0.2711
2021-12-30,M&MFIN,EQ,147.05,147.4,148.8,145.45,147.9,147.25,146.74,4427257,64967366160000.0,25149,2257845,0.51
