Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,METROPOLIS,2777.8,2777.85,2675.0,2685.2,105129,34762
2021-08-24,METROPOLIS,2685.2,2750.0,2635.35,2679.35,132718,46023
2021-08-25,METROPOLIS,2692.75,2709.4,2672.0,2691.5,54521,9606
2021-08-26,METROPOLIS,2704.6,2704.6,2653.55,2687.9,187975,109879
2021-08-27,METROPOLIS,2687.85,2749.0,2687.0,2726.0,174429,94326
2021-08-30,METROPOLIS,2726.0,2809.45,2718.0,2788.35,162046,52562
2021-08-31,METROPOLIS,2795.0,2838.95,2776.4,2823.55,212086,67685
2021-09-01,METROPOLIS,2825.0,2925.0,2825.0,2898.25,283338,106595
2021-09-02,METROPOLIS,2920.3,2926.65,2859.2,2880.95,186051,72016
2021-09-03,METROPOLIS,2885.0,2910.0,2818.45,2836.0,98336,28968
2021-09-06,METROPOLIS,2840.0,2950.0,2827.15,2920.15,241509,67557
2021-09-07,METROPOLIS,2943.0,2973.9,2857.65,2877.3,138075,25434
2021-09-08,METROPOLIS,2884.8,2951.15,2863.0,2929.25,143590,38348
2021-09-09,METROPOLIS,2914.1,3049.7,2910.1,3008.4,478469,112391
2021-09-13,METROPOLIS,3030.0,3083.95,2981.05,3072.9,270620,45694
2021-09-14,METROPOLIS,3094.0,3094.0,3029.0,3077.45,119563,35144
2021-09-15,METROPOLIS,3077.45,3220.0,3050.75,3174.55,415794,107050
2021-09-16,METROPOLIS,3167.0,3240.0,3138.25,3199.2,209917,68719
2021-09-17,METROPOLIS,3210.0,3217.4,3118.85,3145.6,123797,53355
2021-09-20,METROPOLIS,3129.0,3166.45,3006.85,3034.45,97523,26543
2021-09-21,METROPOLIS,3026.0,3087.9,3000.65,3070.55,70706,16114
2021-09-22,METROPOLIS,3081.7,3081.9,2974.0,3000.7,315140,183476
2021-09-23,METROPOLIS,3010.0,3160.95,3009.2,3113.7,293081,62312
2021-09-24,METROPOLIS,3110.0,3132.4,2976.75,3055.4,212166,83534
2021-09-27,METROPOLIS,3059.0,3095.8,2917.5,2945.65,911600,261694
2021-09-28,METROPOLIS,2955.0,2963.4,2779.95,2797.5,271785,131900
2021-09-29,METROPOLIS,2799.75,2802.4,2693.15,2707.55,244595,94819
2021-09-30,METROPOLIS,2710.0,2749.95,2681.8,2700.8,267458,129199
2021-10-01,METROPOLIS,2679.05,2794.0,2666.0,2781.5,324317,129870
2021-10-04,METROPOLIS,2807.0,2885.0,2762.3,2848.1,290499,85990
2021-10-05,METROPOLIS,2848.0,2888.0,2801.05,2878.9,182080,55303
2021-10-06,METROPOLIS,2875.0,2903.1,2772.0,2807.0,156052,66795
2021-10-07,METROPOLIS,2800.0,2850.0,2761.0,2776.15,127146,57375
2021-10-08,METROPOLIS,2780.0,2850.0,2772.55,2839.85,114039,41436
2021-10-11,METROPOLIS,2844.0,2895.15,2802.05,2834.85,126473,45832
2021-10-12,METROPOLIS,2790.0,2834.05,2766.0,2785.35,96258,35245
2021-10-13,METROPOLIS,2785.0,2785.0,2695.0,2709.25,244645,139536
2021-10-14,METROPOLIS,2723.6,2724.75,2630.0,2642.85,236907,119175
2021-10-18,METROPOLIS,2700.0,2722.0,2631.1,2699.85,318219,183100
2021-10-19,METROPOLIS,2710.0,2789.6,2693.05,2749.95,186274,75177
2021-10-20,METROPOLIS,2758.0,2959.45,2672.55,2907.55,872824,438746
2021-10-21,METROPOLIS,2936.6,3034.95,2831.45,2860.3,908004,267532
2021-10-22,METROPOLIS,2880.0,2916.5,2781.0,2812.25,420802,143340
2021-10-25,METROPOLIS,2846.55,2850.0,2727.9,2799.3,435627,279671
2021-10-26,METROPOLIS,2815.5,2941.0,2796.0,2922.05,447659,198374
2021-10-27,METROPOLIS,2922.0,2922.0,2814.5,2847.05,404539,107147
2021-10-28,METROPOLIS,2850.0,2972.0,2838.25,2940.7,358415,111246
2021-10-29,METROPOLIS,2914.9,2977.0,2864.0,2962.2,221284,60552
2021-11-01,METROPOLIS,2962.2,3034.95,2900.0,2993.4,182040,59978
2021-11-02,METROPOLIS,2991.0,3078.5,2970.0,3028.05,323386,82954
2021-11-03,METROPOLIS,3020.0,3100.0,2966.55,3058.95,326119,54964
2021-11-04,METROPOLIS,3060.05,3085.0,3021.35,3046.5,16365,6127
2021-11-08,METROPOLIS,3055.05,3150.0,3034.1,3129.85,150863,60115
2021-11-09,METROPOLIS,3114.8,3210.05,3079.95,3182.15,198680,92834
2021-11-10,METROPOLIS,3164.0,3204.0,3125.0,3153.2,219754,80828
2021-11-11,METROPOLIS,3010.0,3102.05,3003.2,3071.95,480134,170506
2021-11-12,METROPOLIS,3050.0,3143.8,3035.95,3094.55,275129,147398
2021-11-15,METROPOLIS,3120.0,3352.45,3085.6,3337.95,730118,257939
2021-11-16,METROPOLIS,3330.0,3337.0,3132.9,3146.15,552305,253838
2021-11-17,METROPOLIS,3140.0,3399.0,3111.05,3247.6,658658,135493
2021-11-18,METROPOLIS,3241.2,3250.0,3117.1,3146.8,347872,197279
2021-11-22,METROPOLIS,3140.0,3140.0,2955.05,3028.9,323022,156067
2021-11-23,METROPOLIS,3034.1,3069.5,2960.0,3024.8,393207,265176
2021-11-24,METROPOLIS,3027.9,3054.65,2989.0,3032.2,57878,10698
2021-11-25,METROPOLIS,3010.0,3041.85,2932.7,2947.45,138374,38191
2021-11-26,METROPOLIS,2949.0,3204.7,2949.0,3062.4,756156,165281
2021-11-29,METROPOLIS,3070.0,3260.45,3062.4,3130.7,545797,74531
2021-11-30,METROPOLIS,3148.25,3323.95,3090.15,3292.9,569530,136313
2021-12-01,METROPOLIS,3292.9,3310.0,3132.0,3156.45,444475,86646
2021-12-02,METROPOLIS,3190.0,3235.0,3150.0,3206.15,216728,51257
2021-12-03,METROPOLIS,3228.95,3250.0,3152.05,3204.9,141051,33287
2021-12-06,METROPOLIS,3232.55,3374.0,3222.5,3252.85,780371,77399
2021-12-07,METROPOLIS,3268.95,3268.95,3073.0,3122.3,379683,112352
2021-12-08,METROPOLIS,3110.0,3183.0,3068.0,3162.7,254978,94012
2021-12-09,METROPOLIS,3173.9,3259.0,3145.05,3200.4,252979,62361
2021-12-10,METROPOLIS,3197.0,3245.45,3150.9,3222.8,137170,37743
2021-12-13,METROPOLIS,3222.8,3270.0,3188.6,3206.4,162395,94581
2021-12-14,METROPOLIS,3209.0,3305.0,3182.45,3268.95,247796,76395
2021-12-15,METROPOLIS,3268.9,3348.95,3261.75,3281.55,267939,122981
2021-12-16,METROPOLIS,3294.9,3414.95,3246.0,3335.75,222256,39293
2021-12-17,METROPOLIS,3336.0,3337.0,3198.05,3260.6,155468,36073
2021-12-20,METROPOLIS,3226.0,3226.0,3065.4,3126.0,332779,112334
2021-12-21,METROPOLIS,3130.0,3337.9,3129.95,3308.1,217346,69135
